file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.780427811458374	0.005233482197581907	73.57827927611037
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.78567152284723	0.005253940580132621	74.8041458343586
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.79090327590538	0.005209565536162586	75.69450362140755
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.796102563327246	0.0051890093075712684	76.36281649313149
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.80125358221792	0.005113028473772374	76.79025433071962
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.80635827874506	0.005096364580509771	77.12327259947601
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.81141714353039	0.0050213649901493795	77.38804493991833
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.81642223311593	0.004988814180940437	77.55389755312714
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.82142204853527	0.005010816657737394	77.6184279896281
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.826444847474235	0.005034781220196294	77.56667070853483
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	left	63.831503538065746	0.0050825999628258955	77.37292062348294
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.836555388001926	0.0050210999095341435	77.11672518966579
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.84152463759686	0.00491739928033752	76.8159619616469
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.846393552585376	0.004820430696682365	76.6469288689897
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.8512045014985	0.0048014671295746325	76.56345025299895
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.85601568890527	0.004820907683956932	76.57120305917957
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.86082907672031	0.004805867946117814	76.49299932334812
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.86561063877495	0.004757256163166801	76.24361242076607
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.87035098112899	0.004723428544920694	75.90782767886111
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.875057923024954	0.004690455247008174	75.55052785849682
07_M35_M40_free_narr	1	M35	soloman	Free narrative	l	-	63.87974968481993	0.004693068342930928	75.32130923562323
