file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
07_M35_M40_free_narr	1	M35	soloman	Free narrative	o	o	l	-	0	0	63.775	63.834	63.896	63.942	77.64	75.17	76.08	76.15	69.78	0.1	203.12	43.65	406.25	48.56	593.75	40.40	1015.62	29.85	0.5	203.12	46.89	420.41	45.69	421.88	45.69	1046.88	32.07	0.9	218.75	46.53	437.50	40.23	656.25	39.93	1062.50	28.15
07_M35_M40_free_narr	2	M35	iwalo	Free narrative	a	o	l	-	0	0	67.275	67.363	67.490	67.525	78.13	73.72	75.10	75.31	70.48	0.1	156.25	47.38	312.50	43.31	328.12	41.24	1078.12	37.68	0.5	156.25	47.80	303.17	44.05	296.88	44.05	1062.50	27.81	0.9	140.62	41.82	281.25	45.76	406.25	40.21	1156.25	17.24
07_M35_M40_free_narr	3	M40	tawsːulo	Free narrative	u	o	l	-	0	0	78.082	78.140	78.219	78.283	79.21	74.31	75.79	76.36	70.72	0.1	156.25	41.71	314.97	44.66	468.75	40.89	1140.62	17.87	0.5	156.25	45.59	305.66	48.08	453.12	45.31	1078.12	19.39	0.9	140.62	41.48	297.54	45.27	437.50	47.75	1000.00	18.22
07_M35_M40_free_narr	4	M40	wolˀondlo	Free narrative	o	o	lˀ	-	0	0	89.062	89.112	89.175	89.242	78.06	73.29	76.51	74.58	68.36	0.1	125.00	31.31	246.11	40.64	359.38	45.82	1000.00	24.94	0.5	125.00	32.36	252.32	43.75	375.00	44.77	1140.62	23.47	0.9	125.00	36.06	261.21	47.63	265.62	47.63	1031.25	25.69
07_M35_M40_free_narr	5	M40	rejdilojd	Free narrative	i	o	l	-	0	0	102.204	102.252	102.336	102.405	77.22	73.21	77.40	76.28	68.42	0.2	125.00	33.12	263.68	47.17	265.62	47.17	1437.50	19.79	0.5	125.00	35.23	265.26	51.57	265.62	51.57	1437.50	20.65	0.9	125.00	33.45	261.02	48.76	265.62	48.76	1296.88	23.70
07_M35_M40_free_narr	6	M40	haǯilawšud	Free narrative	i	a	l	-	0	0	106.739	106.772	106.831	106.887	78.02	77.03	77.69	77.90	69.82	0.1	156.25	46.13	312.50	48.51	296.88	48.51	1656.25	21.24	0.5	156.25	45.64	303.04	50.54	296.88	50.54	1343.75	17.59	0.9	156.25	46.53	313.38	49.91	312.50	49.91	1406.25	25.26
07_M35_M40_free_narr	7	M40	hilˀo	Free narrative	i	o	lˀ	-	0	0	107.156	107.179	107.257	107.329	74.04	71.36	77.20	75.55	68.14	0.1	140.62	42.73	281.25	42.24	296.88	40.45	1640.62	18.86	0.5	140.62	42.87	288.16	49.68	281.25	49.68	1406.25	22.50	0.9	140.62	45.58	302.46	49.46	296.88	49.46	1453.12	26.95
07_M35_M40_free_narr	8	M40	č’alannilo	Free narrative	i	o	l	-	0	0	120.700	120.744	120.815	120.884	76.29	72.63	77.87	74.01	66.62	0.2	140.62	37.34	281.25	43.82	406.25	38.86	1390.62	26.09	0.5	140.62	40.83	282.68	44.35	281.25	44.35	1406.25	22.28	0.9	140.62	41.14	281.25	43.32	421.88	42.84	1421.88	15.57
07_M35_M40_free_narr	9	M40	petizarʲadkalojd	Free narrative	a	o	l	-	0	0	132.287	132.337	132.397	132.436	77.74	73.37	73.37	73.95	70.86	0.1	93.75	24.67	187.50	45.49	484.38	39.15	1281.25	17.92	0.5	93.75	24.57	198.59	43.27	203.12	43.27	1218.75	21.31	0.9	93.75	26.32	187.50	38.38	406.25	43.16	1406.25	10.87
07_M35_M40_free_narr	10	M40	talulˀalo	Free narrative	a	u	l	-	0	0	137.214	137.256	137.316	137.364	78.45	75.99	76.36	77.17	70.98	0.1	125.00	30.44	244.79	39.64	468.75	44.94	1343.75	22.30	0.5	140.62	31.10	259.78	39.57	390.62	48.46	1031.25	25.02	0.9	140.62	36.15	274.21	41.33	406.25	51.52	984.38	22.17
07_M35_M40_free_narr	11	M40	talulˀalo	Free narrative	u	a	lˀ	-	0	0	137.316	137.364	137.467	137.537	76.87	73.74	76.42	74.66	68.08	0.1	140.62	34.60	269.45	43.72	406.25	44.88	953.12	25.47	0.5	140.62	36.66	272.43	43.50	406.25	44.64	953.12	23.46	0.9	140.62	37.82	275.98	44.73	421.88	45.83	1093.75	24.79
07_M35_M40_free_narr	12	M40	talulˀalo	Free narrative	a	o	l	-	0	0	137.467	137.537	137.622	137.659	77.93	72.55	76.72	73.47	66.99	0.1	140.62	34.86	283.06	37.72	562.50	42.27	1140.62	24.37	0.5	140.62	39.14	282.39	42.97	562.50	40.41	1000.00	24.07	0.9	140.62	38.50	285.45	43.29	421.88	41.70	984.38	25.24
07_M35_M40_free_narr	13	M40	hilˀo	Free narrative	i	o	lˀ	creak	138.959	138.981	138.908	138.951	139.005	139.072	77.70	73.18	77.09	75.22	67.76	0.1	125.00	31.31	250.00	41.55	375.00	46.45	1734.38	16.76	0.5	140.62	33.46	270.89	42.29	390.62	43.70	1453.12	19.98	0.9	140.62	33.39	267.03	39.43	406.25	51.66	1312.50	15.25
07_M35_M40_free_narr	14	M40	išːalo	Free narrative	a	o	l	-	0	0	181.409	181.448	181.512	181.544	77.80	75.48	75.36	75.67	70.16	0.1	187.50	34.43	375.00	43.95	531.25	46.95	1093.75	35.31	0.5	203.12	29.14	372.02	48.75	375.00	48.75	1125.00	29.82	0.9	187.50	32.06	375.00	46.79	562.50	44.61	1125.00	26.37
07_M35_M40_free_narr	15	M40	išulo	Free narrative	u	o	l	-	0	0	182.717	182.745	182.819	182.872	79.99	79.32	77.70	79.81	71.98	0.1	187.50	38.04	350.78	53.28	343.75	53.28	1046.88	27.54	0.5	171.88	40.93	357.03	54.16	359.38	54.16	1062.50	31.99	0.9	171.88	39.21	357.23	52.88	359.38	52.88	1062.50	29.45
07_M35_M40_free_narr	16	M40	unsalo	Free narrative	a	o	l	-	0	0	191.101	191.158	191.220	191.265	77.65	73.61	76.32	74.66	68.81	0.1	125.00	8.26	248.40	36.97	500.00	45.76	1156.25	20.77	0.5	125.00	23.94	256.38	36.98	390.62	47.87	1031.25	19.93	0.9	125.00	17.52	250.00	37.09	406.25	44.86	1156.25	22.74
07_M35_M40_free_narr	17	M40	hebrihilˀajd	Free narrative	i	a	lˀ	-	0	0	194.126	194.181	194.306	194.394	76.24	73.16	75.64	75.86	70.46	0.1	140.62	36.15	281.25	45.40	312.50	37.72	1593.75	17.32	0.5	140.62	46.00	294.84	48.11	296.88	48.11	1468.75	22.46	0.9	140.62	43.51	281.25	45.88	421.88	39.29	1578.12	17.91
07_M35_M40_free_narr	18	M40	buχːuradolo	Free narrative	o	o	l	-	0	0	197.448	197.483	197.572	197.706	78.47	73.33	76.99	76.34	69.57	0.1	109.38	31.68	214.56	42.76	328.12	42.90	1015.62	11.64	0.5	109.38	31.79	227.64	46.47	343.75	49.96	1000.00	10.05	0.9	109.38	31.16	218.75	45.00	359.38	46.65	906.25	21.55
07_M35_M40_free_narr	19	M40	woinnolo	Free narrative	o	o	l	-	0	0	198.109	198.167	198.248	198.318	76.18	75.71	75.40	76.40	71.26	0.1	109.38	29.75	220.24	48.31	437.50	39.46	1109.38	15.14	0.5	109.38	30.99	222.42	49.33	437.50	40.92	1109.38	18.99	0.9	109.38	31.79	227.99	48.29	453.12	43.81	1125.00	15.34
07_M35_M40_free_narr	20	M40	žiradolosːulow	Free narrative	o	o	l	-	0	0	198.783	198.842	198.942	198.988	78.36	73.38	75.51	75.23	69.81	0.1	109.38	27.27	216.28	45.32	437.50	42.46	968.75	11.00	0.5	109.38	29.91	221.45	48.36	437.50	42.17	906.25	14.77	0.9	109.38	32.27	226.18	47.36	468.75	41.22	906.25	16.53
