file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
09_M69_free_narr	1	M69	balˀib	Free narrative	a	i	lˀ	creak	19.924	19.965	19.811	19.885	19.965	20.066	72.96	67.93	73.88	70.03	65.67	0.1	93.75	16.27	187.50	40.79	500.00	35.59	1312.50	22.62	0.5	78.12	18.06	155.89	22.36	218.75	41.34	1437.50	21.32	0.9	125.00	20.71	249.14	44.18	234.38	44.18	1609.38	16.11
09_M69_free_narr	2	M69	kutakulˀa	Free narrative	u	a	lˀ	creak	23.100	23.133	23.032	23.071	23.133	23.161	75.02	68.18	67.69	69.24	71.48	0.1	109.38	32.49	205.11	30.33	312.50	41.77	937.50	19.45	0.5	109.38	28.15	201.77	39.04	218.75	39.04	890.62	18.61	0.9	93.75	21.76	184.57	22.35	406.25	38.30	937.50	13.84
09_M69_free_narr	3	M69	balˀoɬi	Free narrative	a	o	lˀ	creak	27.762	27.789	27.692	27.753	27.816	27.881	73.56	68.40	72.79	69.17	66.32	0.1	109.38	28.79	218.28	32.56	437.50	37.82	984.38	26.16	0.5	109.38	27.65	205.26	30.39	343.75	39.35	968.75	23.82	0.9	109.38	30.90	217.98	31.97	343.75	38.19	1046.88	21.47
09_M69_free_narr	4	M69	balˀoɬi	Free narrative	a	o	lˀ	creak	32.805	32.852	32.753	32.778	32.852	32.906	72.86	65.56	69.79	66.66	66.91	0.1	109.38	27.76	211.60	36.01	218.75	36.01	984.38	16.36	0.5	109.38	24.59	220.36	30.27	328.12	35.93	1031.25	16.60	0.9	109.38	26.26	208.59	32.39	328.12	36.68	1015.62	17.40
09_M69_free_narr	5	M69	balˀorallo	Free narrative	a	o	lˀ	-	0	0	36.650	36.700	36.741	36.805	75.10	72.37	75.70	73.28	67.87	0.1	125.00	29.68	234.10	34.15	468.75	47.43	828.12	23.67	0.5	125.00	24.92	246.11	35.17	500.00	42.30	1031.25	18.36	0.9	125.00	19.80	243.12	30.00	375.00	42.72	937.50	18.98
09_M69_free_narr	6	M69	kutukulˀa	Free narrative	u	a	lˀ	creak	42.759	42.775	42.654	42.694	42.783	42.941	75.38	65.80	71.51	68.56	67.52	0.1	140.62	33.15	269.07	41.57	281.25	41.57	890.62	17.19	0.5	140.62	27.33	279.72	39.29	281.25	39.29	953.12	14.28	0.9	125.00	14.03	250.00	28.87	500.00	37.79	1093.75	9.48
09_M69_free_narr	7	M69	wolˀinnu	Free narrative	o	i	lˀ	creaky	79.670	79.717	79.615	79.654	79.725	79.779	69.36	57.63	65.45	61.62	66.61	0.1	109.38	19.83	218.75	33.14	437.50	31.06	1140.62	12.23	0.5	78.12	16.91	147.27	18.66	203.12	27.92	1156.25	3.72	0.9	109.38	21.33	218.75	32.56	343.75	28.86	1578.12	8.03
09_M69_free_narr	8	M69	sebgulo	Free narrative	u	o	l	-	0	0	85.526	85.575	85.643	85.685	70.28	67.57	66.01	67.98	72.44	0.1	109.38	31.72	204.78	34.04	312.50	37.87	625.00	15.63	0.5	93.75	28.43	204.63	40.44	203.12	40.44	609.38	10.99	0.9	93.75	29.53	199.83	38.40	203.12	38.40	703.12	9.76
09_M69_free_narr	10	M69	haržulˀa	Free narrative	u	a	lˀ	-	0	0	125.425	125.473	125.552	125.623	77.69	73.20	73.79	76.41	72.86	0.1	125.00	35.33	243.59	43.08	234.38	43.08	1328.12	15.80	0.5	125.00	33.99	254.22	48.13	390.62	49.30	1015.62	17.37	0.9	125.00	29.73	248.27	43.28	375.00	49.64	1015.62	18.76
09_M69_free_narr	11	M69	hinulo	Free narrative	u	o	l	-	0	0	125.858	125.919	125.961	126.003	77.88	73.15	75.75	74.23	68.95	0.1	109.38	29.98	235.85	44.22	234.38	44.22	1093.75	24.28	0.5	109.38	29.92	240.90	46.11	234.38	46.11	1109.38	15.66	0.9	125.00	32.61	238.12	45.14	359.38	46.29	1062.50	20.31
