file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	u	l	-	0	0	9.948	9.998	10.078	10.117	77.52	70.45	75.29	71.96	66.81	0.2	156.25	37.59	311.43	43.02	312.50	43.02	2031.25	19.71	0.5	156.25	38.17	323.64	44.77	328.12	44.77	1781.25	23.67	0.9	171.88	38.77	330.26	44.88	343.75	44.88	1640.62	26.76
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	a	lˀ	creak	13.412	13.466	13.288	13.398	13.458	13.528	76.90	65.62	74.78	68.08	63.25	0.1	140.62	22.24	281.25	38.17	578.12	41.46	1312.50	31.82	0.5	125.00	20.48	261.70	31.67	390.62	36.91	1312.50	25.64	0.9	125.00	23.53	250.00	32.10	625.00	37.23	1296.88	33.68
21_F45_free_narr	3	F45	iχolˀa	Free narrative	o	a	lˀ	-	0	0	15.895	15.964	16.035	16.193	77.91	69.80	73.43	70.98	67.52	0.1	125.00	24.84	250.00	36.93	546.88	36.07	1218.75	28.17	0.5	109.38	26.28	231.22	35.55	359.38	40.99	1171.88	27.02	0.9	140.62	28.94	281.25	39.52	562.50	35.72	1343.75	30.86
21_F45_free_narr	4	F45	musalawšːur	Free narrative	a	a	l	-	0	0	17.454	17.501	17.570	17.679	77.53	75.90	74.41	76.51	72.23	0.1	140.62	30.13	281.25	42.20	578.12	49.07	1312.50	37.85	0.5	140.62	30.57	291.76	41.83	578.12	49.03	1171.88	38.57	0.9	140.62	30.14	281.25	40.85	593.75	47.13	1312.50	41.14
21_F45_free_narr	5	F45	musalaw	Free narrative	a	a	l	-	0	0	19.610	19.680	19.733	19.820	77.90	73.86	75.11	75.42	70.66	0.1	187.50	32.04	375.00	34.50	593.75	37.33	1312.50	39.83	0.5	187.50	34.20	378.29	37.42	562.50	48.78	1328.12	40.12	0.9	187.50	33.77	375.00	36.24	593.75	46.45	1312.50	41.31
21_F45_free_narr	6	F45	iχolˀa	Free narrative	o	a	lˀ	-	0	0	20.082	20.142	20.189	20.289	78.21	65.41	75.50	67.74	61.80	0.1	171.88	25.86	343.75	35.58	515.62	34.78	1343.75	30.01	0.5	140.62	22.87	291.32	33.93	437.50	33.88	1296.88	30.26	0.9	140.62	22.78	281.25	34.79	578.12	41.60	1250.00	33.07
21_F45_free_narr	7	F45	roq’orallologu	Free narrative	o	o	l	-	0	0	22.529	22.575	22.640	22.694	77.73	69.70	75.37	70.98	65.66	0.1	156.25	31.04	289.68	40.30	281.25	40.30	1328.12	29.61	0.5	156.25	31.61	300.27	43.97	296.88	43.97	1203.12	27.16	0.9	171.88	32.46	322.58	42.25	328.12	42.25	1156.25	31.02
21_F45_free_narr	8	F45	čʷaχːelasːi	Free narrative	e	a	l	-	0	0	25.106	25.146	25.187	25.252	75.15	68.17	73.36	69.92	66.16	0.1	140.62	29.81	281.25	37.05	562.50	35.87	1687.50	22.17	0.5	156.25	31.60	293.38	42.23	296.88	42.23	1609.38	18.51	0.9	156.25	31.40	312.50	42.24	546.88	37.64	1703.12	28.53
21_F45_free_narr	9	F45	kurt’alogu	Free narrative	a	o	l	-	0	0	36.506	36.572	36.611	36.655	77.24	73.50	74.93	74.42	69.50	0.1	171.88	35.90	343.75	43.18	515.62	43.76	1421.88	37.64	0.5	171.88	35.52	354.61	44.37	359.38	44.37	1234.38	35.15	0.9	171.88	36.97	343.75	44.92	531.25	45.76	1234.38	36.64
21_F45_free_narr	10	F45	buʁalo	Free narrative	a	o	l	-	0	0	38.047	38.115	38.180	38.235	76.47	71.45	77.76	72.65	65.06	0.1	187.50	34.67	375.00	39.62	531.25	43.15	1296.88	33.38	0.5	187.50	35.76	364.54	44.32	359.38	44.32	1281.25	30.18	0.9	187.50	37.44	375.00	43.15	578.12	44.33	1312.50	36.37
