file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	left	15.159642669997881	0.009493755602978382	73.98326804473264
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	left	15.16901375894455	0.009248422290358604	75.46603646877416
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	left	15.178188204519653	0.009100468859848831	75.53059674600283
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	left	15.187196328410769	0.0089157789223826	74.8279830740736
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	left	15.196040213135856	0.008771990527788986	73.78467161450675
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.204902793655798	0.008953170512098652	72.29358676900537
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.214033338740414	0.009307919657134178	71.43796695143541
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.223194961288204	0.009015325438445743	71.94921569723361
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.23219254486444	0.008979841714022996	72.19344434034817
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.241147663910489	0.00893039637807469	72.21311731121038
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.250016691952899	0.008807659706747017	72.80880705287876
35_M35_free_narr	1	M35	žilˀid	Free narrative	lˀ	-	15.258749325012928	0.008657606413311925	73.62393902209206
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	right	15.267428272032157	0.008700287625146075	74.11496201466511
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	right	15.276137890712556	0.008718949735651904	74.16026864722141
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	right	15.284998839699782	0.009002948238798325	74.06322858623903
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	right	15.293977384837296	0.008954142036230905	74.31250043565126
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	right	15.303130320064895	0.009351728418966587	74.8287864699728
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	right	15.31253343313388	0.009454497719001864	74.55378740002958
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.678198700737536	0.007792904298504766	80.19175580212777
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.68606892627195	0.00794754677032472	80.2485176768143
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.69393065486119	0.007775910408152953	79.30552407924996
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.701609499584244	0.007581779037959535	78.25651998986781
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.709103115133587	0.007405452060723405	77.43465032909505
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.71645370606619	0.007295729804482676	76.70024066201498
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.723657633716417	0.007112125495972066	75.75592687545526
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	left	30.730715950821107	0.007004508713407631	74.5015749480448
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.73825203721812	0.008067664080620318	73.15675569781614
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.745854414248306	0.007137089979750044	72.27577282766462
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.75291161375936	0.006977309042355273	71.55081083275577
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.759621320390295	0.006442104219516409	70.79792202515426
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.766216109048855	0.006747473097600931	71.27964840935968
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.7730672593991	0.006954827602893232	72.60074793605884
35_M35_free_narr	2	M35	dilˀo	Free narrative	lˀ	-	30.780031128524428	0.006972910647760955	74.31800879675723
