file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
F45_ind_wrd_carr_phr	1	F45	ila	1	i	a	l	-	0	0	2.174	2.286	2.414	2.617	70.17	60.49	67.60	68.22	70.63	0.2	171.88	34.92	344.96	31.08	343.75	31.08	2187.50	7.28	0.5	171.88	39.54	357.67	42.80	359.38	42.80	1953.12	15.38	0.9	156.25	34.75	312.50	39.64	500.00	39.78	1765.62	24.83
F45_ind_wrd_carr_phr	2	F45	ila	2	i	a	l	-	0	0	3.366	3.467	3.592	3.764	71.41	63.57	66.29	69.37	73.19	0.2	171.88	37.75	343.75	32.47	343.75	32.47	2171.88	9.92	0.5	171.88	39.72	341.01	43.76	343.75	43.76	2031.25	14.88	0.9	156.25	36.60	312.50	42.98	359.38	39.13	1921.88	23.28
F45_ind_wrd_carr_phr	3	F45	ila	3	i	a	l	-	0	0	4.536	4.654	4.771	4.914	72.69	66.90	66.41	70.09	73.44	0.1	171.88	37.86	343.75	37.74	343.75	37.74	2218.75	8.32	0.5	156.25	36.49	327.36	43.69	328.12	43.69	1937.50	14.93	0.9	156.25	35.26	312.50	41.00	484.38	37.73	1953.12	26.53
F45_ind_wrd_carr_phr	4	F45	ila	Carrier phrase	i	a	l	-	0	0	6.157	6.238	6.329	6.434	73.11	66.07	68.29	70.83	72.98	0.2	156.25	38.50	312.50	42.53	328.12	42.53	2109.38	13.92	0.5	156.25	35.95	331.45	45.36	328.12	45.36	1937.50	21.07	0.9	171.88	35.91	343.75	42.54	515.62	38.08	1796.88	27.60
F45_ind_wrd_carr_phr	5	F45	rolˀal	1	o	a	lˀ	creaky	10.330	10.395	10.208	10.307	10.420	10.521	69.87	61.10	67.96	65.10	66.85	0.1	171.88	26.02	343.75	34.12	515.62	33.06	1218.75	24.24	0.5	62.50	-0.22	122.42	-1.00	437.50	31.34	1187.50	19.47	0.9	156.25	28.47	312.50	36.07	453.12	42.70	1296.88	29.06
F45_ind_wrd_carr_phr	6	F45	rolˀal	2	o	a	lˀ	creaky	11.508	11.586	11.381	11.463	11.611	11.727	71.27	55.31	67.99	64.02	66.48	0.1	187.50	30.44	375.00	40.50	359.38	40.50	1093.75	23.30	0.5	62.50	-3.61	114.12	11.01	375.00	27.51	1140.62	13.08	0.9	156.25	30.48	312.50	38.53	468.75	39.76	1156.25	27.21
F45_ind_wrd_carr_phr	7	F45	rolˀal	3	o	a	lˀ	creaky	12.632	12.717	12.527	12.597	12.732	12.815	71.11	59.19	68.06	64.00	65.89	0.1	171.88	28.81	343.75	39.57	375.00	36.11	1046.88	29.44	0.5	93.75	9.31	194.97	21.24	390.62	29.09	1078.12	20.98	0.9	125.00	24.69	250.00	32.63	531.25	38.70	1171.88	31.50
F45_ind_wrd_carr_phr	8	F45	rolˀal	Carrier phrase	o	a	lˀ	-	0	0	14.245	14.287	14.399	14.475	69.50	61.99	68.08	65.79	67.33	0.1	156.25	26.20	312.50	35.21	437.50	38.98	1218.75	26.14	0.5	125.00	20.10	245.48	30.10	375.00	33.69	1109.38	16.64	0.9	156.25	29.40	312.50	36.08	625.00	39.77	1218.75	35.10
F45_ind_wrd_carr_phr	9	F45	relˀa	1	e	a	lˀ	creaky	17.568	17.659	17.411	17.518	17.652	17.821	72.42	54.77	68.36	61.18	62.75	0.1	140.62	26.38	281.25	33.62	421.88	30.06	2031.25	15.93	0.5	46.88	2.16	102.45	12.11	265.62	32.53	1859.38	13.81	0.9	78.12	8.92	156.25	22.34	406.25	31.33	1703.12	19.67
F45_ind_wrd_carr_phr	10	F45	relˀa	2	e	a	lˀ	creaky	18.692	18.779	18.525	18.666	18.793	18.981	70.96	55.90	67.85	62.60	64.42	0.2	187.50	19.14	375.00	18.98	343.75	18.98	1921.88	5.61	0.5	--undefined--	--undefined--	--undefined--	--undefined--	375.00	27.61	1765.62	11.90	0.9	140.62	28.33	281.25	37.63	468.75	34.89	1593.75	26.16
F45_ind_wrd_carr_phr	11	F45	relˀa	3	e	a	lˀ	creaky	19.882	19.981	19.746	19.852	19.973	20.085	70.77	53.95	66.30	59.95	63.30	0.2	109.38	12.88	218.75	13.21	328.12	20.03	1890.62	2.95	0.5	62.50	1.29	130.54	15.73	296.88	27.03	1796.88	10.75	0.9	93.75	14.26	187.50	27.46	484.38	30.15	1718.75	26.37
F45_ind_wrd_carr_phr	12	F45	relˀa	Carrier phrase	e	a	lˀ	creaky	21.295	21.337	21.205	21.267	21.356	21.460	69.97	59.22	67.83	63.03	65.38	0.1	140.62	22.24	281.25	31.10	421.88	26.27	2000.00	12.52	0.5	109.38	16.12	224.75	28.07	343.75	30.66	1890.62	18.08	0.9	156.25	26.49	312.50	33.87	609.38	39.76	1906.25	33.72
F45_ind_wrd_carr_phr	13	F45	belˀora	1	e	o	lˀ	creaky	25.456	25.503	25.261	25.398	25.503	25.609	73.18	61.64	70.97	63.76	62.92	0.1	140.62	23.98	281.25	34.28	312.50	30.04	2203.12	11.12	0.5	156.25	24.05	308.35	34.61	328.12	34.61	1906.25	6.49	0.9	125.00	23.52	250.00	34.53	421.88	34.75	1609.38	26.27
F45_ind_wrd_carr_phr	14	F45	belˀora	2	e	o	lˀ	creaky	26.817	26.877	26.651	26.778	26.869	26.996	73.07	62.06	70.48	66.31	65.37	0.1	156.25	29.76	312.50	39.56	312.50	39.48	2015.62	17.14	0.5	109.38	19.13	220.23	31.50	328.12	38.41	1921.88	15.01	0.9	93.75	17.33	187.50	29.34	375.00	32.74	1703.12	19.55
F45_ind_wrd_carr_phr	15	F45	belˀora	3	e	o	lˀ	creaky	28.206	28.247	28.053	28.177	28.257	28.361	71.85	55.69	70.94	60.43	59.25	0.1	140.62	24.03	281.25	33.03	421.88	29.09	2156.25	9.44	0.5	93.75	13.91	192.38	24.58	312.50	27.80	1921.88	9.48	0.9	109.38	16.93	218.75	28.08	421.88	27.89	1750.00	20.97
F45_ind_wrd_carr_phr	16	F45	belˀora	Carrier phrase	e	0	lˀ	-	0	0	29.759	29.850	29.927	29.994	72.00	60.63	71.10	63.37	62.03	0.1	125.00	24.45	250.00	33.30	390.62	35.88	2109.38	13.75	0.5	125.00	20.99	231.66	32.16	250.00	32.16	1828.12	11.61	0.9	140.62	26.86	281.25	35.58	453.12	33.35	1828.12	23.89
F45_ind_wrd_carr_phr	17	F45	q'ali	1	a	i	l	-	0	0	40.928	41.062	41.163	41.235	67.05	64.49	68.61	65.15	66.49	0.1	156.25	29.78	312.50	32.31	453.12	32.77	2000.00	17.48	0.5	156.25	31.11	300.13	37.36	296.88	37.36	2109.38	17.13	0.9	140.62	29.45	281.25	37.88	343.75	29.66	2390.62	17.50
F45_ind_wrd_carr_phr	18	F45	q'ali	2	a	i	l	-	0	0	42.132	42.246	42.358	42.429	68.37	63.05	66.48	65.47	68.82	0.1	156.25	29.52	312.50	34.78	437.50	33.72	2015.62	19.03	0.5	140.62	31.05	293.23	39.11	296.88	39.11	2203.12	16.22	0.9	125.00	25.77	250.00	34.95	312.50	21.54	2187.50	5.51
F45_ind_wrd_carr_phr	19	F45	q'ali	3	a	i	l	-	0	0	43.237	43.351	43.456	43.511	68.64	64.90	64.68	65.80	71.31	0.1	156.25	28.91	312.50	36.76	437.50	33.77	1984.38	19.80	0.5	140.62	29.49	286.95	39.55	281.25	39.55	2156.25	19.76	0.9	140.62	26.55	281.25	37.23	390.62	28.98	2421.88	15.49
F45_ind_wrd_carr_phr	20	F45	q'ali	Carrier phrase	a	i	l	-	0	0	44.769	44.842	44.907	44.962	71.09	62.37	68.67	63.42	65.11	0.1	156.25	25.75	312.50	31.68	453.12	28.66	1875.00	18.17	0.5	156.25	27.43	306.34	35.66	312.50	35.66	1984.38	11.81	0.9	156.25	28.87	312.50	35.53	468.75	31.07	2046.88	12.24
F45_ind_wrd_carr_phr	21	F45	lˀala	1	a	a	l	-	0	0	63.596	63.751	63.843	64.026	71.92	66.36	67.31	68.25	70.50	0.1	171.88	30.71	343.75	34.21	484.38	37.49	1312.50	22.62	0.5	156.25	31.33	323.21	36.15	484.38	40.11	1125.00	22.16	0.9	156.25	32.01	312.50	34.75	640.62	37.68	1281.25	30.99
F45_ind_wrd_carr_phr	22	F45	lˀala	2	a	a	l	-	0	0	64.858	64.984	65.077	65.279	71.52	66.55	67.44	67.63	70.35	0.1	171.88	28.98	343.75	31.77	640.62	38.15	1312.50	27.19	0.5	156.25	29.96	324.30	33.78	484.38	39.53	1296.88	25.42	0.9	156.25	31.71	312.50	34.50	484.38	39.38	1250.00	28.14
