file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
M52_ind_wrd_carr_phr	1	M52	q'ali	1	a	i	l	-	0	0	1.395	1.515	1.598	1.848	71.91	63.41	69.21	66.02	67.07	0.1	187.50	33.28	375.00	37.67	515.62	39.02	1625.00	25.60	0.5	187.50	34.80	368.07	34.73	359.38	34.73	1671.88	20.11	0.9	187.50	36.76	375.00	34.53	359.38	34.53	1812.50	23.33
M52_ind_wrd_carr_phr	2	M52	q'ali	2	a	i	l	-	0	0	3.115	3.233	3.316	3.566	73.71	62.79	69.30	64.70	64.93	0.1	187.50	33.82	375.00	36.46	375.00	36.46	1546.88	19.40	0.5	187.50	34.75	388.99	33.09	390.62	33.09	1750.00	16.34	0.9	187.50	36.30	375.00	37.79	390.62	37.79	1671.88	19.17
M52_ind_wrd_carr_phr	3	M52	q'ali	3	a	i	l	-	0	0	4.522	4.623	4.699	4.903	71.42	65.40	69.42	66.68	67.33	0.1	171.88	33.89	343.75	36.06	453.12	33.98	1515.62	22.72	0.5	171.88	36.33	350.28	38.26	343.75	38.26	1765.62	15.82	0.9	171.88	37.06	343.75	37.31	359.38	37.31	1734.38	20.66
M52_ind_wrd_carr_phr	4	M52	q'ali	Carrier phrase	a	i	l	-	0	0	6.696	6.771	6.859	6.947	73.68	64.17	70.86	65.99	65.06	0.1	171.88	32.31	343.75	35.06	500.00	35.99	1562.50	22.09	0.5	187.50	34.66	374.36	39.07	375.00	39.07	1500.00	17.40	0.9	187.50	34.30	375.00	31.90	375.00	31.90	1656.25	11.74
M52_ind_wrd_carr_phr	5	M52	lˀala	1	a	a	l	-	0	0	31.245	31.378	31.441	31.699	73.15	67.07	68.95	68.02	69.52	0.1	187.50	32.13	375.00	37.87	531.25	29.87	1156.25	26.32	0.5	187.50	33.09	381.93	39.53	375.00	39.53	1140.62	27.39	0.9	187.50	34.85	375.00	40.73	531.25	26.33	1125.00	29.72
M52_ind_wrd_carr_phr	6	M52	lˀala	2	a	a	l	-	0	0	32.660	32.790	32.867	33.118	71.60	65.94	69.45	66.85	67.74	0.1	203.12	31.11	406.25	36.39	562.50	33.87	1171.88	23.64	0.5	203.12	33.42	391.09	39.27	390.62	39.27	1171.88	24.58	0.9	187.50	34.39	375.00	39.27	406.25	38.53	1156.25	24.68
M52_ind_wrd_carr_phr	7	M52	lˀala	3	a	a	l	-	0	0	34.009	34.119	34.186	34.368	72.53	67.90	68.28	68.53	70.47	0.1	187.50	32.27	375.00	34.66	531.25	40.06	1281.25	31.02	0.5	187.50	33.76	366.84	38.21	359.38	38.21	1281.25	27.75	0.9	171.88	35.16	343.75	37.46	531.25	38.64	1234.38	30.74
M52_ind_wrd_carr_phr	8	M52	lˀala	Carrier phrase	a	a	l	-	0	0	36.174	36.261	36.330	36.444	72.72	65.63	69.21	66.80	67.32	0.1	171.88	31.99	343.75	34.69	500.00	38.51	1203.12	28.83	0.5	171.88	32.70	347.99	36.68	359.38	36.05	1046.88	21.23	0.9	171.88	34.33	343.75	37.37	531.25	33.91	1218.75	21.48
M52_ind_wrd_carr_phr	9	M52	ila	1	i	a	l	-	0	0	40.724	40.854	40.938	41.196	73.92	56.13	68.71	63.38	64.46	0.05	--undefined--	--undefined--	--undefined--	--undefined--	359.38	24.09	2093.75	9.61	0.5	187.50	34.89	365.10	34.58	375.00	34.58	1625.00	17.80	0.9	171.88	35.95	343.75	41.75	546.88	33.79	1421.88	29.27
M52_ind_wrd_carr_phr	10	M52	ila	2	i	a	l	-	0	0	42.165	42.312	42.395	42.675	73.11	62.05	68.48	68.84	70.24	0.2	203.12	35.18	406.25	31.28	390.62	31.28	1703.12	21.87	0.5	187.50	35.96	388.04	44.36	390.62	44.36	1531.25	28.33	0.9	187.50	34.51	375.00	43.77	406.25	41.28	1500.00	29.58
