fname token_code syllable_type
M50_ind_wrd_carr_phr 1 0
M50_ind_wrd_carr_phr 2 0
M50_ind_wrd_carr_phr 3 0
M50_ind_wrd_carr_phr 4 0
M50_ind_wrd_carr_phr 5 0
M50_ind_wrd_carr_phr 6 0
M50_ind_wrd_carr_phr 7 0
M50_ind_wrd_carr_phr 8 0
M50_ind_wrd_carr_phr 9 0
M50_ind_wrd_carr_phr 10 0
M50_ind_wrd_carr_phr 11 0
M50_ind_wrd_carr_phr 12 0
M50_ind_wrd_carr_phr 13 1
M50_ind_wrd_carr_phr 14 1
M50_ind_wrd_carr_phr 15 1
M50_ind_wrd_carr_phr 16 1
M50_ind_wrd_carr_phr 17 0
M50_ind_wrd_carr_phr 18 0
M50_ind_wrd_carr_phr 19 0
M50_ind_wrd_carr_phr 20 0
M50_ind_wrd_carr_phr 21 0
M50_ind_wrd_carr_phr 22 0
M50_ind_wrd_carr_phr 23 0
M50_ind_wrd_carr_phr 24 0
M52_ind_wrd_carr_phr 1 0
M52_ind_wrd_carr_phr 2 0
M52_ind_wrd_carr_phr 3 0
M52_ind_wrd_carr_phr 4 0
M52_ind_wrd_carr_phr 5 0
M52_ind_wrd_carr_phr 6 0
M52_ind_wrd_carr_phr 7 0
M52_ind_wrd_carr_phr 8 0
M52_ind_wrd_carr_phr 9 0
M52_ind_wrd_carr_phr 10 0
M52_ind_wrd_carr_phr 11 0
M52_ind_wrd_carr_phr 12 0
M52_ind_wrd_carr_phr 13 1
M52_ind_wrd_carr_phr 14 1
M52_ind_wrd_carr_phr 15 1
M52_ind_wrd_carr_phr 16 1
M52_ind_wrd_carr_phr 17 0
M52_ind_wrd_carr_phr 18 0
M52_ind_wrd_carr_phr 19 0
M52_ind_wrd_carr_phr 20 0
M52_ind_wrd_carr_phr 21 0
M52_ind_wrd_carr_phr 22 0
M52_ind_wrd_carr_phr 23 0
M52_ind_wrd_carr_phr 24 0
F49_ind_wrd_carr_phr 1 0
F49_ind_wrd_carr_phr 2 0
F49_ind_wrd_carr_phr 3 0
F49_ind_wrd_carr_phr 4 0
F49_ind_wrd_carr_phr 5 0
F49_ind_wrd_carr_phr 6 0
F49_ind_wrd_carr_phr 7 0
F49_ind_wrd_carr_phr 8 0
F49_ind_wrd_carr_phr 9 0
F49_ind_wrd_carr_phr 10 0
F49_ind_wrd_carr_phr 11 0
F49_ind_wrd_carr_phr 12 0
F49_ind_wrd_carr_phr 13 1
F49_ind_wrd_carr_phr 14 1
F49_ind_wrd_carr_phr 15 1
F49_ind_wrd_carr_phr 16 1
F49_ind_wrd_carr_phr 17 0
F49_ind_wrd_carr_phr 18 0
F49_ind_wrd_carr_phr 19 0
F49_ind_wrd_carr_phr 20 0
F49_ind_wrd_carr_phr 21 0
F49_ind_wrd_carr_phr 22 0
F49_ind_wrd_carr_phr 23 0
F49_ind_wrd_carr_phr 24 0
M69_ind_wrd_carr_phr 1 0
M69_ind_wrd_carr_phr 2 0
M69_ind_wrd_carr_phr 3 0
M69_ind_wrd_carr_phr 4 0
M69_ind_wrd_carr_phr 5 0
M69_ind_wrd_carr_phr 6 0
M69_ind_wrd_carr_phr 7 0
M69_ind_wrd_carr_phr 8 0
M69_ind_wrd_carr_phr 9 0
M69_ind_wrd_carr_phr 10 0
M69_ind_wrd_carr_phr 11 0
M69_ind_wrd_carr_phr 12 0
M69_ind_wrd_carr_phr 13 1
M69_ind_wrd_carr_phr 14 1
M69_ind_wrd_carr_phr 15 1
M69_ind_wrd_carr_phr 16 1
M69_ind_wrd_carr_phr 17 0
M69_ind_wrd_carr_phr 18 0
M69_ind_wrd_carr_phr 19 0
M69_ind_wrd_carr_phr 20 0
M69_ind_wrd_carr_phr 21 0
M69_ind_wrd_carr_phr 22 0
M69_ind_wrd_carr_phr 23 0
M69_ind_wrd_carr_phr 24 0
F30_ind_wrd_carr_phr 1 0
F30_ind_wrd_carr_phr 2 0
F30_ind_wrd_carr_phr 3 0
F30_ind_wrd_carr_phr 4 0
F30_ind_wrd_carr_phr 5 0
F30_ind_wrd_carr_phr 6 0
F30_ind_wrd_carr_phr 7 0
F30_ind_wrd_carr_phr 8 0
F30_ind_wrd_carr_phr 9 0
F30_ind_wrd_carr_phr 10 0
F30_ind_wrd_carr_phr 11 0
F30_ind_wrd_carr_phr 12 0
F30_ind_wrd_carr_phr 13 1
F30_ind_wrd_carr_phr 14 1
F30_ind_wrd_carr_phr 15 1
F30_ind_wrd_carr_phr 16 1
F30_ind_wrd_carr_phr 17 0
F30_ind_wrd_carr_phr 18 0
F30_ind_wrd_carr_phr 19 0
F30_ind_wrd_carr_phr 20 0
F30_ind_wrd_carr_phr 21 0
F30_ind_wrd_carr_phr 22 0
F30_ind_wrd_carr_phr 23 0
F30_ind_wrd_carr_phr 24 0
M60_ind_wrd_carr_phr 1 0
M60_ind_wrd_carr_phr 2 0
M60_ind_wrd_carr_phr 3 0
M60_ind_wrd_carr_phr 4 0
M60_ind_wrd_carr_phr 5 0
M60_ind_wrd_carr_phr 6 0
M60_ind_wrd_carr_phr 7 0
M60_ind_wrd_carr_phr 8 0
M60_ind_wrd_carr_phr 9 0
M60_ind_wrd_carr_phr 10 0
M60_ind_wrd_carr_phr 11 0
M60_ind_wrd_carr_phr 12 0
M60_ind_wrd_carr_phr 13 1
M60_ind_wrd_carr_phr 14 1
M60_ind_wrd_carr_phr 15 1
M60_ind_wrd_carr_phr 16 1
M60_ind_wrd_carr_phr 17 0
M60_ind_wrd_carr_phr 18 0
M60_ind_wrd_carr_phr 19 0
M60_ind_wrd_carr_phr 20 0
M60_ind_wrd_carr_phr 21 0
M60_ind_wrd_carr_phr 22 0
M60_ind_wrd_carr_phr 23 0
M60_ind_wrd_carr_phr 24 0
F45_ind_wrd_carr_phr 1 0
F45_ind_wrd_carr_phr 2 0
F45_ind_wrd_carr_phr 3 0
F45_ind_wrd_carr_phr 4 0
F45_ind_wrd_carr_phr 5 1
F45_ind_wrd_carr_phr 6 1
F45_ind_wrd_carr_phr 7 1
F45_ind_wrd_carr_phr 8 1
F45_ind_wrd_carr_phr 9 0
F45_ind_wrd_carr_phr 10 0
F45_ind_wrd_carr_phr 11 0
F45_ind_wrd_carr_phr 12 0
F45_ind_wrd_carr_phr 13 0
F45_ind_wrd_carr_phr 14 0
F45_ind_wrd_carr_phr 15 0
F45_ind_wrd_carr_phr 16 0
F45_ind_wrd_carr_phr 17 0
F45_ind_wrd_carr_phr 18 0
F45_ind_wrd_carr_phr 19 0
F45_ind_wrd_carr_phr 20 0
F45_ind_wrd_carr_phr 21 0
F45_ind_wrd_carr_phr 22 0
F45_ind_wrd_carr_phr 23 0
F45_ind_wrd_carr_phr 24 0
07_M35_M40_free_narr 1 0
07_M35_M40_free_narr 2 0
07_M35_M40_free_narr 3 0
07_M35_M40_free_narr 4 1
07_M35_M40_free_narr 5 1
07_M35_M40_free_narr 6 1
07_M35_M40_free_narr 7 0
07_M35_M40_free_narr 8 0
07_M35_M40_free_narr 9 1
07_M35_M40_free_narr 10 0
07_M35_M40_free_narr 11 0
07_M35_M40_free_narr 12 0
07_M35_M40_free_narr 13 0
07_M35_M40_free_narr 14 0
07_M35_M40_free_narr 15 0
07_M35_M40_free_narr 16 0
07_M35_M40_free_narr 17 1
07_M35_M40_free_narr 18 0
07_M35_M40_free_narr 19 0
07_M35_M40_free_narr 20 0
07_M35_M40_free_narr 21 1
07_M35_M40_free_narr 22 1
07_M35_M40_free_narr 23 0
07_M35_M40_free_narr 24 1
07_M35_M40_free_narr 25 1
07_M35_M40_free_narr 26 0
07_M35_M40_free_narr 27 1
07_M35_M40_free_narr 28 0
07_M35_M40_free_narr 29 1
07_M35_M40_free_narr 30 0
07_M35_M40_free_narr 31 0
07_M35_M40_free_narr 32 0
07_M35_M40_free_narr 33 0
07_M35_M40_free_narr 34 0
07_M35_M40_free_narr 35 0
07_M35_M40_free_narr 36 0
07_M35_M40_free_narr 37 0
07_M35_M40_free_narr 38 0
07_M35_M40_free_narr 39 1
07_M35_M40_free_narr 40 0
07_M35_M40_free_narr 41 0
07_M35_M40_free_narr 42 1
07_M35_M40_free_narr 43 0
07_M35_M40_free_narr 44 0
07_M35_M40_free_narr 45 0
07_M35_M40_free_narr 46 0
07_M35_M40_free_narr 47 1
07_M35_M40_free_narr 48 0
07_M35_M40_free_narr 49 0
07_M35_M40_free_narr 50 1
07_M35_M40_free_narr 51 0
07_M35_M40_free_narr 52 0
07_M35_M40_free_narr 53 1
07_M35_M40_free_narr 54 0
07_M35_M40_free_narr 55 0
07_M35_M40_free_narr 56 1
07_M35_M40_free_narr 57 0
07_M35_M40_free_narr 58 0
07_M35_M40_free_narr 59 0
07_M35_M40_free_narr 60 1
07_M35_M40_free_narr 61 0
07_M35_M40_free_narr 62 0
07_M35_M40_free_narr 63 0
07_M35_M40_free_narr 64 0
07_M35_M40_free_narr 65 0
07_M35_M40_free_narr 66 0
07_M35_M40_free_narr 67 1
14_F45_free_narr 1 0
14_F45_free_narr 2 1
14_F45_free_narr 3 0
14_F45_free_narr 4 0
14_F45_free_narr 5 0
14_F45_free_narr 6 1
14_F45_free_narr 7 0
17_F45_free_narr 1 0
17_F45_free_narr 2 1
17_F45_free_narr 3 ?
17_F45_free_narr 4 0
17_F45_free_narr 5 1
17_F45_free_narr 6 0
17_F45_free_narr 7 1
18_F45_free_narr 1 0
18_F45_free_narr 2 ?
18_F45_free_narr 3 0
18_F45_free_narr 4 1
18_F45_free_narr 5 0
21_F45_free_narr 1 1
21_F45_free_narr 2 0
21_F45_free_narr 3 0
21_F45_free_narr 4 1
21_F45_free_narr 5 1
21_F45_free_narr 6 0
21_F45_free_narr 7 0
21_F45_free_narr 8 1
21_F45_free_narr 9 0
21_F45_free_narr 10 0
21_F45_free_narr 11 1
21_F45_free_narr 12 1
21_F45_free_narr 13 0
21_F45_free_narr 14 0
21_F45_free_narr 15 1
21_F45_free_narr 16 0
21_F45_free_narr 17 0
21_F45_free_narr 18 0
21_F45_free_narr 19 0
21_F45_free_narr 20 1
21_F45_free_narr 21 0
21_F45_free_narr 22 1
21_F45_free_narr 23 0
09_M69_free_narr 1 1
09_M69_free_narr 2 0
09_M69_free_narr 3 0
09_M69_free_narr 4 0
09_M69_free_narr 5 0
09_M69_free_narr 6 0
09_M69_free_narr 7 ?
