"sound","word","condition","speaker","plsIntvl","plsIntvlNorm","points","pointsNorm","pointsOrig","file","intensityOrig","conditionNorm","conditionNorm2","wordType","conditionWord"
"o_left","s_olo_m^an","Free narrative","M35",0.00520000000000209,0.0744985673352727,-0.0514999999999972,-0.737822349570153,0.00240000000000151,"07__M35__M40_free_narr",73.5783,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00529999999999831,0.0759312320916655,-0.046249999999997,-0.662607449856684,0.0076000000000036,"07__M35__M40_free_narr",74.8041,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00520000000000209,0.0744985673352727,-0.0409999999999968,-0.587392550143215,0.0129000000000019,"07__M35__M40_free_narr",75.6945,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00519999999999499,0.0744985673351709,-0.0357999999999983,-0.512893982807993,0.018100000000004,"07__M35__M40_free_narr",76.3628,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00510000000000588,0.07306590257888,-0.0306499999999978,-0.439111747850967,0.023299999999999,"07__M35__M40_free_narr",76.7903,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00509999999999877,0.0730659025787782,-0.0255499999999955,-0.366045845272138,0.0284000000000049,"07__M35__M40_free_narr",77.1233,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00499999999999545,0.0716332378222836,-0.0204999999999984,-0.293696275071607,0.0335000000000036,"07__M35__M40_free_narr",77.388,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00500000000000256,0.0716332378223855,-0.0154999999999994,-0.222063037249273,0.0384999999999991,"07__M35__M40_free_narr",77.5539,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00500000000000256,0.0716332378223855,-0.0104999999999968,-0.150429799426887,0.0435000000000016,"07__M35__M40_free_narr",77.6184,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00509999999999877,0.0730659025787782,-0.00544999999999618,-0.0780802292263055,0.0485000000000042,"07__M35__M40_free_narr",77.5667,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_left","s_olo_m^an","Free narrative","M35",0.00500000000000256,0.0716332378223855,-0.000399999999995515,-0.00573065902572365,0.053600000000003,"07__M35__M40_free_narr",77.3729,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.00509999999999877,0.0730659025787782,0.00465000000000515,0.0666189111748582,0.0586000000000055,"07__M35__M40_free_narr",77.1167,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.00489999999999924,0.0702005730658909,0.00965000000000416,0.138252148997193,0.0637000000000043,"07__M35__M40_free_narr",76.816,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.00479999999999592,0.0687679083093964,0.0145000000000017,0.207736389684836,0.0686000000000035,"07__M35__M40_free_narr",76.6469,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.00480000000000302,0.0687679083094982,0.0193000000000012,0.276504297994284,0.0733999999999995,"07__M35__M40_free_narr",76.5635,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.00480000000000302,0.0687679083094982,0.0241000000000042,0.345272206303782,0.0782000000000025,"07__M35__M40_free_narr",76.5712,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
