"word","speaker","condition","snd1Bgn","snd2Bgn","snd3Bgn","snd3Fin","snd1","snd2","snd3","file","h1","h1Int","h2","h2Int","a1","a1Int","a2","a2Int","f3","f3Int","wordType","snd1IntOrig","snd2IntOrig","snd3IntOrig","snd23IntOrig","snd2IntNorm","snd3IntNorm","snd23IntNorm","a1h1Int","a2h1Int","h2h1Int","conditionNorm","conditionNorm2","snd1BgnNorm","snd2BgnNorm","snd3BgnNorm","snd3FinNorm","plsMax","plsSD","plsMaxPoint","plsMaxPointNorm","plsMaxNorm","lDur","meanlIntvl"
"s_olo_m^an","M35","Free narrative",-0.0564999999999998,0,0.0698000000000008,0.110200000000006,"o_left","l","o_right","07__M35__M40_free_narr",215,44,431,42,431,42,1034,28,2756,22,"l",76.3007,76.2098,76.0275,76.1429,69.8333,69.6488,68.1155,-2,-16,-2,"Free narrative","l, Free narrative",-0.809455587392538,0,1,1.57879656160465,0.00529999999999831,0.000240023765905891,-0.046249999999997,-0.662607449856684,0.0759312320916655,0.0698000000000008,0.00715499999999956
"iw_^alo_","M35","Free narrative",-0.0912000000000006,0,0.115400000000008,0.159000000000006,"^a","l","o","07__M35__M40_free_narr",137,44,273,34,345,40,1077,23,1852,15,"l",76.7445,75.3917,74.7768,75.2231,70.8473,70.2348,70.4462,-4,-21,-10,"Free narrative","l, Free narrative",-0.790294627382965,0,1,1.37781629116113,0.0075999999999965,0.0003774917217637,0.127800000000008,1.10745233968803,0.0658578856152163,0.115400000000008,0.00715499999999956
"tawsː_^ulo_","M40","Free narrative",-0.0570000000000022,0,0.0790999999999968,0.143799999999999,"^u","l","o","07__M35__M40_free_narr",169,44,337,42,474,41,1034,18,1852,18,"l",78.2072,76.3459,75.8149,76.1069,70.6398,70.1075,69.292,-3,-26,-2,"Free narrative","l, Free narrative",-0.720606826801573,0,1,1.81795195954494,0.00839999999999463,0.000737039695829149,0.131,1.6561314791404,0.106194690265423,0.0790999999999968,0.00787679999999932
"w_olˀ^o_ndlo","M40","Free narrative",-0.056200000000004,0,0.0559999999999974,0.124399999999994,"o","lˀ","^o","07__M35__M40_free_narr",129,35,258,43,301,44,1077,21,2196,15,"lˀ",77.7024,74.3914,76.4906,75.5453,68.1225,70.2261,68.0548,9,-14,8,"Free narrative","lˀ, Free narrative",-1.00357142857155,0,1,2.22142857142857,0.00820000000000221,0.000163828650851919,-0.0496000000000052,-0.88571428571442,0.146428571428618,0.0559999999999974,0.00787679999999932
"r^ejd_ilo_jd","M40","Free narrative",-0.0512999999999977,0,0.0849000000000046,0.149900000000002,"i","l","o","07__M35__M40_free_narr",129,40,258,49,258,49,1292,16,2283,25,"l",75.916,76.4044,77.437,76.8518,68.5404,69.5723,65.4148,9,-24,9,"Free narrative","l, Free narrative",-0.604240282685452,0,1,1.76560659599522,0.00829999999999131,0.000267519469695382,0.000849999999999795,0.0100117785630124,0.097762073026983,0.0849000000000046,0.00787679999999932
"haǯ_il^a_wšud","M40","Free narrative",-0.0362999999999971,0,0.0587000000000018,0.1126,"i","l","^a","07__M35__M40_free_narr",167,44,334,47,301,47,1335,15,2541,16,"l",77.2862,77.9788,77.6289,77.8112,69.941,69.5877,66.1824,3,-29,3,"Free narrative","l, Free narrative",-0.618398637137922,0,1,1.91822827938666,0.00670000000000925,0.000137068883369608,0.000250000000001194,0.00425894378196229,0.114139693356202,0.0587000000000018,0.00787679999999932
"h_ilˀ^o_","M40","Free narrative",-0.0283999999999907,0,0.0778000000000105,0.144600000000011,"i","lˀ","^o","07__M35__M40_free_narr",129,42,258,48,301,48,1421,22,2326,20,"lˀ",73.2869,75.9673,77.0362,76.4612,68.8035,69.8556,67.425,6,-20,6,"Free narrative","lˀ, Free narrative",-0.365038560411142,0,1,1.85861182519269,0.00740000000000407,0.000226344613494931,0.0128000000000057,0.164524421593881,0.0951156812339726,0.0778000000000105,0.00787679999999932
"č’al^ann_ilo_","M40","Free narrative",-0.0495999999999981,0,0.0702999999999889,0.133899999999997,"i","l","o","07__M35__M40_free_narr",129,36,258,37,431,40,1292,19,2110,18,"l",75.1951,74.24,77.9428,75.9995,65.843,69.5491,66.0567,4,-17,1,"Free narrative","l, Free narrative",-0.705547652916158,0,1,1.90469416785232,0.00730000000000075,0.000119023807140561,0.125549999999997,1.78591749644405,0.103840682788078,0.0702999999999889,0.00787679999999932
"petizarjadka_alo_jd","M40","Free narrative",-0.0464000000000055,0,0.069800000000015,0.102100000000007,"a","l","o","07__M35__M40_free_narr",110,34,219,41,388,42,1249,19,2885,5,"l",76.9549,74.031,73.2406,73.7814,71.0643,70.2747,70.5408,8,-15,7,"Free narrative","l, Free narrative",-0.664756446991341,0,1,1.46275071633217,0.0105999999999824,0.000552516719448556,0.0896000000000043,1.28366762177629,0.151862464183096,0.069800000000015,0.00787679999999932
"t_al^u_lˀalo","M40","Free narrative",-0.0418999999999983,0,0.0601000000000056,0.1036,"a","l","^u","07__M35__M40_free_narr",129,20,258,26,431,46,1034,23,2196,20,"l",78.0883,77.1738,76.4332,76.8627,70.947,70.2062,68.4295,26,3,6,"Free narrative","l, Free narrative",-0.69717138103152,0,1,1.7237936772045,0.00870000000000459,0.000462163143535161,-0.000849999999999795,-0.0141430948419254,0.144758735440995,0.0601000000000056,0.00787679999999932
